"subject" "item" "condition" "NP1"
"3986" 26 5 1 5.88887795833288
"3999" 26 1 1 5.77144112313002
"4012" 27 8 1 6.14418563412565
"4024" 27 14 -1 5.8664680569333
"4036" 27 6 -1 5.93489419561959
"4048" 27 13 -1 5.89164421182577
"4060" 27 2 -1 5.91350300563827
"4073" 27 12 1 5.95324333428778
"4085" 27 9 -1 6.07073772800249
"4097" 27 1 -1 5.91079664404053
"4110" 27 7 1 6.22455842927536
"4123" 27 4 1 5.74939298590825
"4136" 27 3 1 5.82008293035236
"4148" 27 10 -1 5.77455154554441
"4160" 27 5 -1 6.15909538849193
"4173" 27 11 1 5.88887795833288
"4186" 27 15 1 5.74939298590825
"4199" 27 16 1 5.86929691313377
"4212" 28 6 1 7.19218205871325
"4225" 28 11 1 6.69579891705849
"4237" 28 12 -1 6.06610809010375
"4250" 28 2 1 7.63675211243578
"4263" 28 10 1 5.88610403145016
"4275" 28 16 -1 5.95583736946483
"4287" 28 8 -1 6.19236248947487
"4299" 28 9 -1 5.82304589548302
"4312" 28 14 1 5.99146454710798
"4325" 28 3 1 6.92461239604856
"4337" 28 5 -1 6.24027584517077
"4349" 28 4 -1 6.47543271670409
"4361" 28 13 -1 6.25766758788264
"4373" 28 1 -1 6.25575004175337
"4386" 28 15 1 7.89692465626886
"4399" 28 7 1 6.15909538849193
"4412" 29 5 1 6.08904487544685
"4425" 29 1 1 5.54907608489522
"4437" 29 15 -1 5.91350300563827
"4449" 29 7 -1 5.8664680569333
"4462" 29 10 1 6.67582322163485
"4475" 29 9 1 6.22455842927536
"4487" 29 4 -1 5.86929691313377
"4500" 29 2 1 6.10924758276437
"4512" 29 3 -1 5.99396142730657
"4525" 29 13 1 6.2709884318583
"4537" 29 11 -1 5.82008293035236
"4550" 29 14 1 6.53524127101366
"4562" 29 8 -1 5.79605775076537
"4574" 29 16 -1 5.86929691313377
"4586" 29 12 -1 5.8664680569333
"4599" 29 6 1 5.88887795833288
"4612" 3 3 1 5.93224518744801
"4624" 3 1 -1 5.77144112313002
"4636" 3 14 -1 5.57972982598622
"4648" 3 2 -1 5.8664680569333
"4661" 3 16 1 5.79605775076537
"4674" 3 15 1 6.7900972355139
"4687" 3 4 1 6.10702288774225
"4700" 3 11 1 5.91079664404053
"4713" 3 8 1 5.79605775076537
"4725" 3 5 -1 5.88887795833288
"4738" 3 12 1 5.8664680569333
"4750" 3 9 -1 6.12686918411419
"4762" 3 10 -1 5.79605775076537
"4774" 3 13 -1 5.60947179518496
"4786" 3 6 -1 5.86929691313377
"4799" 3 7 1 5.88887795833288
"4811" 30 10 -1 6.14203740558736
"4824" 30 4 1 6.4393503711001
"4837" 30 5 1 6.20859002609663
"4850" 30 13 1 6.03548143252476
"4863" 30 12 1 6.07073772800249
"4875" 30 7 -1 5.84354441703136
"4887" 30 11 -1 5.97635090929793
"4900" 30 16 1 6.3456363608286
"4913" 30 1 1 6.46302945692067
"4925" 30 14 -1 5.88610403145016
"4938" 30 8 1 5.82008293035236
"4951" 30 9 1 6.17586727010576
"4963" 30 2 -1 7.13648320859025
"4975" 30 3 -1 6.0137151560428
"4987" 30 15 -1 5.93489419561959
"4999" 30 6 -1 5.99396142730657
"5011" 31 13 -1 6.34388043412633
"5023" 31 5 -1 5.74620319054015
"5036" 31 16 1 5.74939298590825
"5048" 31 1 -1 5.82008293035236
"5061" 31 12 1 5.72358510195238
"5074" 31 4 1 5.88887795833288
"5087" 31 3 1 6.28599809450886
"5099" 31 6 -1 5.84354441703136
"5112" 31 7 1 5.60947179518496
"5125" 31 15 1 7.37400185935016
"5137" 31 9 -1 5.82008293035236
"5149" 31 10 -1 6.0282785202307
"5162" 31 8 1 5.77144112313002
"5175" 31 11 1 7.18614430452233
"5187" 31 2 -1 5.57972982598622
"5199" 31 14 -1 5.95583736946483
"5212" 32 7 1 6.30078579466324
"5224" 32 16 -1 6.37161184723186
"5236" 32 12 -1 6.05208916892442
"5248" 32 5 -1 6.94022246911964
"5260" 32 9 -1 6.42486902390539
"5273" 32 10 1 7.46908388492123
"5286" 32 15 1 7.2902928824466
"5298" 32 4 -1 7.08506429395255
"5311" 32 11 1 6.8596149036542
"5324" 32 3 1 7.79975331828725
"5337" 32 14 1 7.61332497954064
"5350" 32 2 1 6.7990558620588
"5362" 32 13 -1 6.07073772800249
"5374" 32 8 -1 5.91079664404053
"5386" 32 1 -1 6.65544035036765
"5399" 32 6 1 7.45529848568329
"5411" 33 7 -1 6.14203740558736
"5424" 33 2 1 7.58933582317062
"5436" 33 4 -1 6.07073772800249
"5448" 33 11 -1 6.34388043412633
"5460" 33 15 -1 7.80343505695217
"5472" 33 12 -1 5.77144112313002
"5485" 33 1 1 6.54678541076052
"5497" 33 16 -1 7.71154897962915
"5510" 33 5 1 7.09090982207998
"5523" 33 13 1 5.86929691313377
"5536" 33 14 1 5.99645208861902
"5549" 33 6 1 5.95324333428778
"5562" 33 10 1 6.10702288774225
"5574" 33 8 -1 5.91079664404053
"5587" 33 9 1 5.82008293035236
"5599" 33 3 -1 5.79605775076537
"5611" 34 14 -1 6.10702288774225
"5623" 34 10 -1 6.12249280951439
"5636" 34 13 1 5.77144112313002
"5648" 34 6 -1 5.84354441703136
"5660" 34 7 -1 6.08904487544685
"5673" 34 5 1 5.97380961186926
"5686" 34 12 1 8.20001364817543
"5698" 34 11 -1 6.07304453410041
"5711" 34 4 1 7.10414409298753
"5724" 34 16 1 6.65672652417839
"5736" 34 3 -1 6.05208916892442
"5748" 34 15 -1 6.01615715969835
"5761" 34 8 1 5.91079664404053
"5774" 34 1 1 5.88610403145016
"5786" 34 2 -1 5.8664680569333
"5799" 34 9 1 5.82304589548302
"5812" 35 16 1 5.77144112313002
"5824" 35 13 -1 6.33150184989369
"5837" 35 7 1 5.97380961186926
"5849" 35 5 -1 5.77144112313002
"5862" 35 15 1 7.61381868480863
"5875" 35 8 1 6.85118492749374
"5887" 35 9 -1 5.95583736946483
"5900" 35 4 1 6.03548143252476
"5912" 35 14 -1 5.57972982598622
"5925" 35 11 1 6.82654522355659
"5937" 35 1 -1 5.95324333428778
"5949" 35 10 -1 5.95324333428778
"5962" 35 3 1 6.05208916892442
"5975" 35 12 1 5.93224518744801
"5987" 35 2 -1 5.60947179518496
"5999" 35 6 -1 5.77455154554441
"6012" 36 14 1 6.46458830368996
"6024" 36 13 -1 6.01615715969835
"6036" 36 8 -1 5.91079664404053
"6049" 36 6 1 6.2709884318583
"6062" 36 11 1 6.33150184989369
"6074" 36 5 -1 6.42486902390539
"6087" 36 3 1 6.67582322163485
"6099" 36 9 -1 6.03548143252476
"6112" 36 2 1 6.0137151560428
"6125" 36 7 1 5.91079664404053
"6137" 36 12 -1 6.05443934626937
"6150" 36 10 1 6.12468339089421
"6162" 36 16 -1 6.0137151560428
"6175" 36 15 1 5.84643877505772
"6187" 36 4 -1 5.77455154554441
"6199" 36 1 -1 6.07073772800249
"6211" 37 16 -1 5.86929691313377
"6224" 37 1 1 6.14203740558736
"6236" 37 11 -1 5.82304589548302
"6248" 37 8 -1 5.6937321388027
"6260" 37 3 -1 5.91079664404053
"6272" 37 7 -1 5.72031177660741
"6285" 37 6 1 6.14418563412565
"6297" 37 4 -1 5.6937321388027
"6310" 37 13 1 5.91350300563827
"6323" 37 9 1 5.48479693349065
"6336" 37 2 1 5.77144112313002
"6348" 37 15 -1 5.72031177660741
"6361" 37 5 1 5.66642668811243
"6373" 37 12 -1 5.61312810638807
"6386" 37 10 1 5.88887795833288
"6399" 37 14 1 5.63835466933375
"6412" 38 1 1 6.31535800152233
"6425" 38 12 1 6.51174532964473
"6438" 38 8 1 6.61204103483309
"6450" 38 3 -1 6.19236248947487
"6462" 38 11 -1 6.28599809450886
"6474" 38 7 -1 6.19236248947487
"6487" 38 5 1 6.54678541076052
"6500" 38 13 1 6.22455842927536
"6512" 38 10 -1 6.37161184723186
"6524" 38 15 -1 5.93489419561959
"6536" 38 6 -1 6.77308037565554
"6549" 38 16 1 6.3297209055227
"6561" 38 2 -1 6.0330862217988
"6574" 38 9 1 6.58063913728495
"6586" 38 14 -1 6.15909538849193
"6599" 38 4 1 6.70686233660275
"6611" 39 5 -1 6.12468339089421
"6623" 39 9 -1 5.89164421182577
"6636" 39 8 1 5.93224518744801
"6648" 39 10 -1 5.91079664404053
"6661" 39 16 1 5.6937321388027
"6674" 39 4 1 6.74405918631135
"6687" 39 7 1 6.05208916892442
"6699" 39 6 -1 5.93224518744801
"6712" 39 11 1 6.31535800152233
"6724" 39 14 -1 5.88887795833288
"6737" 39 12 1 6.3456363608286
"6749" 39 1 -1 6.0330862217988
"6762" 39 15 1 5.72031177660741
"6774" 39 2 -1 6.37161184723186
"6787" 39 3 1 5.54907608489522
"6799" 39 13 -1 5.72031177660741
"6811" 4 16 -1 7.12447826249342
"6823" 4 1 -1 5.99396142730657
"6835" 4 4 -1 6.24027584517077
"6848" 4 10 1 7.77359446736019
"6861" 4 2 1 7.13009851012558
"6873" 4 8 -1 7.45529848568329
"6885" 4 12 -1 6.15909538849193
"6898" 4 14 1 5.8664680569333
"6910" 4 5 -1 5.95324333428778
"6923" 4 6 1 7.31654817718298
"6936" 4 3 1 6.4118182677099
"6949" 4 7 1 6.14203740558736
"6962" 4 15 1 6.07073772800249
"6975" 4 11 1 6.96318998587024
"6987" 4 13 -1 6.38687931936265
"6999" 4 9 -1 5.90808293816893
"7011" 40 16 -1 5.91350300563827
"7024" 40 6 1 5.91079664404053
"7036" 40 9 -1 6.03548143252476
"7048" 40 8 -1 6.25575004175337
"7060" 40 1 -1 5.88887795833288
"7072" 40 12 -1 6.08904487544685
"7085" 40 15 1 7.23921497377981
"7098" 40 11 1 7.13089883029635
"7111" 40 2 1 6.08904487544685
"7124" 40 10 1 6.76272950693188
"7137" 40 3 1 6.91671502035361
"7150" 40 14 1 6.58202513889283
"7162" 40 4 -1 6.31535800152233
"7174" 40 13 -1 6.14418563412565
"7186" 40 5 -1 6.30078579466324
