"subj" "item" "rt" "question.acc" "cond_rt" "int"
"5790" 8 38 344 1 "HI" 1
"5803" 8 3 394 1 "LI" -1
"5816" 8 21 379 1 "LI" -1
"5829" 8 23 308 1 "LI" -1
"5842" 8 34 343 1 "LI" -1
"5855" 8 4 415 1 "LI" -1
"5868" 8 26 361 1 "HI" 1
"5882" 8 7 369 0 "HI" 1
"5895" 8 44 516 1 "HI" 1
"5908" 8 6 379 1 "HI" 1
"5920" 8 10 394 1 "LI" -1
"5934" 8 31 455 1 "HI" 1
"5947" 8 50 358 1 "HI" 1
"5960" 8 57 637 1 "LI" -1
"5972" 8 41 372 1 "LI" -1
"5985" 8 27 426 1 "LI" -1
"5999" 8 43 300 1 "HI" 1
"6012" 8 20 401 1 "HI" 1
"6026" 8 18 376 1 "HI" 1
"6039" 8 12 329 1 "HI" 1
"6053" 8 9 354 1 "LI" -1
"6066" 8 46 308 1 "LI" -1
"6078" 8 56 422 1 "HI" 1
"6091" 8 28 383 1 "LI" -1
"6105" 8 47 358 1 "LI" -1
"6119" 8 36 387 1 "HI" 1
"6132" 8 60 393 1 "HI" 1
"6145" 8 29 318 1 "LI" -1
"6158" 8 45 401 1 "LI" -1
"6170" 8 40 347 1 "LI" -1
"6183" 8 13 336 1 "HI" 1
"6196" 8 14 401 1 "HI" 1
"6209" 8 22 304 1 "LI" -1
"6223" 8 51 333 1 "LI" -1
"6236" 8 48 300 1 "HI" 1
"6250" 8 53 429 1 "LI" -1
"6262" 8 30 426 1 "HI" 1
"6275" 8 1 336 1 "HI" 1
"6288" 8 24 648 1 "HI" 1
"6301" 9 32 755 1 "LI" -1
"6315" 9 15 884 1 "LI" -1
"6329" 9 23 690 1 "HI" 1
"6342" 9 33 1074 1 "LI" -1
"6355" 9 28 1260 0 "LI" -1
"6369" 9 4 1701 0 "LI" -1
"6382" 9 30 622 1 "HI" 1
"6395" 9 7 493 0 "HI" 1
"6408" 9 53 984 1 "HI" 1
"6420" 9 12 504 1 "HI" 1
"6434" 9 19 1521 1 "HI" 1
"6448" 9 48 2009 1 "HI" 1
"6462" 9 1 687 1 "HI" 1
"6475" 9 57 1220 1 "LI" -1
"6487" 9 16 783 0 "LI" -1
"6501" 9 34 465 0 "LI" -1
"6514" 9 5 407 1 "HI" 1
"6528" 9 55 540 1 "HI" 1
"6541" 9 40 866 1 "LI" -1
"6554" 9 17 830 1 "HI" 1
"6568" 9 14 808 0 "LI" -1
"6581" 9 3 543 1 "LI" -1
"6594" 9 35 1568 1 "HI" 1
"6607" 9 58 805 1 "LI" -1
"6620" 9 41 937 1 "HI" 1
"6633" 9 24 615 1 "HI" 1
"6646" 9 18 1600 1 "HI" 1
"6659" 9 9 479 1 "LI" -1
"6672" 9 46 490 1 "LI" -1
"6684" 9 38 454 1 "LI" -1
"6697" 9 59 454 1 "HI" 1
"6709" 9 50 597 0 "LI" -1
"6722" 9 21 608 0 "LI" -1
"6735" 9 51 640 1 "LI" -1
"6748" 9 2 486 1 "LI" -1
"6762" 9 8 407 1 "LI" -1
"6775" 9 56 590 1 "LI" -1
"6788" 9 39 719 1 "LI" -1
"6801" 9 6 876 1 "HI" 1
"6813" 9 26 690 1 "LI" -1
"6827" 9 47 482 1 "HI" 1
"6841" 9 44 558 1 "LI" -1
"6854" 9 43 465 0 "HI" 1
"6867" 9 20 472 1 "LI" -1
"6881" 9 29 465 1 "HI" 1
"6894" 9 54 955 1 "HI" 1
"6906" 9 11 393 1 "HI" 1
"6919" 9 45 464 1 "LI" -1
"6931" 9 42 436 1 "HI" 1
"6944" 9 49 440 1 "HI" 1
"6958" 9 36 594 1 "HI" 1
"6971" 9 13 2090 0 "HI" 1
"6984" 9 37 862 1 "HI" 1
