"subj" "item" "rt" "int" "expt"
"24794" "dillonE117" "dillonE19" 159 "high" "dillonE1"
"24801" "dillonE117" "dillonE19" 594 "high" "dillonE1"
"24808" "dillonE117" "dillonE19" 320 "high" "dillonE1"
"24815" "dillonE117" "dillonE19" 355 "high" "dillonE1"
"24822" "dillonE117" "dillonE19" 632 "high" "dillonE1"
"24829" "dillonE117" "dillonE11" 180 "high" "dillonE1"
"24836" "dillonE117" "dillonE11" 637 "high" "dillonE1"
"24843" "dillonE117" "dillonE11" 650 "high" "dillonE1"
"24850" "dillonE117" "dillonE11" 200 "high" "dillonE1"
"24857" "dillonE117" "dillonE11" 241 "high" "dillonE1"
"24864" "dillonE117" "dillonE11" 364 "high" "dillonE1"
"24913" "dillonE117" "dillonE117" 678 "high" "dillonE1"
"24920" "dillonE117" "dillonE117" 192 "high" "dillonE1"
"24927" "dillonE117" "dillonE117" 193 "high" "dillonE1"
"24934" "dillonE117" "dillonE117" 433 "high" "dillonE1"
"24941" "dillonE117" "dillonE117" 465 "high" "dillonE1"
"24948" "dillonE117" "dillonE117" 610 "high" "dillonE1"
"24955" "dillonE117" "dillonE140" 418 "low" "dillonE1"
"24962" "dillonE117" "dillonE140" 171 "low" "dillonE1"
"24969" "dillonE117" "dillonE140" 380 "low" "dillonE1"
"24976" "dillonE117" "dillonE140" 194 "low" "dillonE1"
"24983" "dillonE117" "dillonE140" 235 "low" "dillonE1"
"24990" "dillonE117" "dillonE140" 389 "low" "dillonE1"
"24997" "dillonE117" "dillonE124" 437 "low" "dillonE1"
"25004" "dillonE117" "dillonE124" 169 "low" "dillonE1"
"25011" "dillonE117" "dillonE124" 410 "low" "dillonE1"
"25018" "dillonE117" "dillonE124" 192 "low" "dillonE1"
"25025" "dillonE117" "dillonE124" 162 "low" "dillonE1"
"25032" "dillonE117" "dillonE124" 610 "low" "dillonE1"
"25123" "dillonE117" "dillonE148" 382 "low" "dillonE1"
"25130" "dillonE117" "dillonE148" 180 "low" "dillonE1"
"25137" "dillonE117" "dillonE148" 513 "low" "dillonE1"
"25144" "dillonE117" "dillonE148" 243 "low" "dillonE1"
"25151" "dillonE117" "dillonE148" 210 "low" "dillonE1"
"25158" "dillonE117" "dillonE148" 629 "low" "dillonE1"
"25249" "dillonE117" "dillonE141" 566 "high" "dillonE1"
"25256" "dillonE117" "dillonE141" 203 "high" "dillonE1"
"25263" "dillonE117" "dillonE141" 553 "high" "dillonE1"
"25277" "dillonE117" "dillonE141" 454 "high" "dillonE1"
"25284" "dillonE117" "dillonE141" 357 "high" "dillonE1"
"25501" "dillonE117" "dillonE18" 431 "low" "dillonE1"
"25508" "dillonE117" "dillonE18" 232 "low" "dillonE1"
"25515" "dillonE117" "dillonE18" 434 "low" "dillonE1"
"25522" "dillonE117" "dillonE18" 255 "low" "dillonE1"
"25529" "dillonE117" "dillonE18" 178 "low" "dillonE1"
"25536" "dillonE117" "dillonE18" 491 "low" "dillonE1"
"25711" "dillonE117" "dillonE125" 851 "high" "dillonE1"
"25718" "dillonE117" "dillonE125" 411 "high" "dillonE1"
"25725" "dillonE117" "dillonE125" 236 "high" "dillonE1"
"25732" "dillonE117" "dillonE125" 201 "high" "dillonE1"
"25739" "dillonE117" "dillonE125" 398 "high" "dillonE1"
"25746" "dillonE117" "dillonE125" 422 "high" "dillonE1"
"26089" "dillonE117" "dillonE133" 1553 "high" "dillonE1"
"26096" "dillonE117" "dillonE133" 584 "high" "dillonE1"
"26103" "dillonE117" "dillonE133" 944 "high" "dillonE1"
"26110" "dillonE117" "dillonE133" 323 "high" "dillonE1"
"26117" "dillonE117" "dillonE133" 1599 "high" "dillonE1"
"26124" "dillonE117" "dillonE133" 1453 "high" "dillonE1"
"26299" "dillonE123" "dillonE130" 578 "low" "dillonE1"
"26306" "dillonE123" "dillonE130" 388 "low" "dillonE1"
"26313" "dillonE123" "dillonE130" 945 "low" "dillonE1"
"26320" "dillonE123" "dillonE130" 620 "low" "dillonE1"
"26327" "dillonE123" "dillonE130" 710 "low" "dillonE1"
"26334" "dillonE123" "dillonE130" 388 "low" "dillonE1"
"26341" "dillonE123" "dillonE114" 839 "low" "dillonE1"
"26348" "dillonE123" "dillonE114" 830 "low" "dillonE1"
"26355" "dillonE123" "dillonE114" 695 "low" "dillonE1"
"26362" "dillonE123" "dillonE114" 900 "low" "dillonE1"
"26369" "dillonE123" "dillonE114" 851 "low" "dillonE1"
"26376" "dillonE123" "dillonE114" 1624 "low" "dillonE1"
"26383" "dillonE123" "dillonE16" 668 "low" "dillonE1"
"26390" "dillonE123" "dillonE16" 523 "low" "dillonE1"
"26397" "dillonE123" "dillonE16" 809 "low" "dillonE1"
"26404" "dillonE123" "dillonE16" 411 "low" "dillonE1"
"26411" "dillonE123" "dillonE16" 386 "low" "dillonE1"
"26418" "dillonE123" "dillonE16" 509 "low" "dillonE1"
"26635" "dillonE123" "dillonE138" 622 "low" "dillonE1"
"26642" "dillonE123" "dillonE138" 1636 "low" "dillonE1"
"26649" "dillonE123" "dillonE138" 254 "low" "dillonE1"
"26656" "dillonE123" "dillonE138" 710 "low" "dillonE1"
"26663" "dillonE123" "dillonE138" 546 "low" "dillonE1"
"26670" "dillonE123" "dillonE138" 855 "low" "dillonE1"
"26677" "dillonE123" "dillonE122" 604 "low" "dillonE1"
"26684" "dillonE123" "dillonE122" 845 "low" "dillonE1"
"26691" "dillonE123" "dillonE122" 925 "low" "dillonE1"
"26698" "dillonE123" "dillonE122" 1381 "low" "dillonE1"
"26705" "dillonE123" "dillonE122" 709 "low" "dillonE1"
"26712" "dillonE123" "dillonE122" 635 "low" "dillonE1"
"26761" "dillonE123" "dillonE17" 467 "high" "dillonE1"
"26768" "dillonE123" "dillonE17" 306 "high" "dillonE1"
"26775" "dillonE123" "dillonE17" 1231 "high" "dillonE1"
"26782" "dillonE123" "dillonE17" 512 "high" "dillonE1"
"26789" "dillonE123" "dillonE17" 223 "high" "dillonE1"
"26796" "dillonE123" "dillonE17" 1365 "high" "dillonE1"
"26929" "dillonE123" "dillonE146" 873 "low" "dillonE1"
"26936" "dillonE123" "dillonE146" 476 "low" "dillonE1"
"26943" "dillonE123" "dillonE146" 464 "low" "dillonE1"
"26950" "dillonE123" "dillonE146" 275 "low" "dillonE1"
"26957" "dillonE123" "dillonE146" 757 "low" "dillonE1"
"26964" "dillonE123" "dillonE146" 1031 "low" "dillonE1"
"27013" "dillonE123" "dillonE123" 1454 "high" "dillonE1"
"27020" "dillonE123" "dillonE123" 1045 "high" "dillonE1"
"27027" "dillonE123" "dillonE123" 888 "high" "dillonE1"
"27034" "dillonE123" "dillonE123" 750 "high" "dillonE1"
"27041" "dillonE123" "dillonE123" 437 "high" "dillonE1"
"27048" "dillonE123" "dillonE123" 1143 "high" "dillonE1"
"27265" "dillonE123" "dillonE147" 658 "high" "dillonE1"
"27272" "dillonE123" "dillonE147" 450 "high" "dillonE1"
"27279" "dillonE123" "dillonE147" 472 "high" "dillonE1"
"27286" "dillonE123" "dillonE147" 397 "high" "dillonE1"
"27293" "dillonE123" "dillonE147" 261 "high" "dillonE1"
"27300" "dillonE123" "dillonE147" 1552 "high" "dillonE1"
"27937" "dillonE123" "dillonE115" 561 "high" "dillonE1"
"27944" "dillonE123" "dillonE115" 516 "high" "dillonE1"
"27951" "dillonE123" "dillonE115" 704 "high" "dillonE1"
"27958" "dillonE123" "dillonE115" 319 "high" "dillonE1"
"27965" "dillonE123" "dillonE115" 1337 "high" "dillonE1"
"27972" "dillonE123" "dillonE115" 1265 "high" "dillonE1"
"28021" "dillonE123" "dillonE139" 930 "high" "dillonE1"
"28028" "dillonE123" "dillonE139" 609 "high" "dillonE1"
"28035" "dillonE123" "dillonE139" 1203 "high" "dillonE1"
"28042" "dillonE123" "dillonE139" 894 "high" "dillonE1"
"28049" "dillonE123" "dillonE139" 1213 "high" "dillonE1"
"28056" "dillonE123" "dillonE139" 1154 "high" "dillonE1"
"28105" "dillonE123" "dillonE131" 614 "high" "dillonE1"
"28112" "dillonE123" "dillonE131" 303 "high" "dillonE1"
"28119" "dillonE123" "dillonE131" 833 "high" "dillonE1"
"28126" "dillonE123" "dillonE131" 778 "high" "dillonE1"
"28133" "dillonE123" "dillonE131" 314 "high" "dillonE1"
"28140" "dillonE123" "dillonE131" 1115 "high" "dillonE1"
"28315" "dillonE124" "dillonE113" 701 "low" "dillonE1"
"28322" "dillonE124" "dillonE113" 694 "low" "dillonE1"
"28329" "dillonE124" "dillonE113" 916 "low" "dillonE1"
"28336" "dillonE124" "dillonE113" 782 "low" "dillonE1"
"28343" "dillonE124" "dillonE113" 1471 "low" "dillonE1"
"28350" "dillonE124" "dillonE113" 858 "low" "dillonE1"
"28357" "dillonE124" "dillonE137" 1420 "low" "dillonE1"
"28364" "dillonE124" "dillonE137" 902 "low" "dillonE1"
"28371" "dillonE124" "dillonE137" 423 "low" "dillonE1"
"28378" "dillonE124" "dillonE137" 820 "low" "dillonE1"
"28385" "dillonE124" "dillonE137" 1421 "low" "dillonE1"
"28392" "dillonE124" "dillonE137" 1054 "low" "dillonE1"
"28861" "dillonE124" "dillonE145" 656 "low" "dillonE1"
"28868" "dillonE124" "dillonE145" 343 "low" "dillonE1"
"28875" "dillonE124" "dillonE145" 744 "low" "dillonE1"
"28882" "dillonE124" "dillonE145" 1083 "low" "dillonE1"
"28889" "dillonE124" "dillonE145" 1292 "low" "dillonE1"
"28896" "dillonE124" "dillonE145" 1196 "low" "dillonE1"
"28987" "dillonE124" "dillonE121" 519 "low" "dillonE1"
"28994" "dillonE124" "dillonE121" 575 "low" "dillonE1"
"29001" "dillonE124" "dillonE121" 1567 "low" "dillonE1"
"29008" "dillonE124" "dillonE121" 1069 "low" "dillonE1"
"29015" "dillonE124" "dillonE121" 1003 "low" "dillonE1"
"29022" "dillonE124" "dillonE121" 621 "low" "dillonE1"
"29155" "dillonE124" "dillonE122" 403 "high" "dillonE1"
"29162" "dillonE124" "dillonE122" 436 "high" "dillonE1"
"29169" "dillonE124" "dillonE122" 954 "high" "dillonE1"
"29176" "dillonE124" "dillonE122" 1031 "high" "dillonE1"
"29183" "dillonE124" "dillonE122" 422 "high" "dillonE1"
"29190" "dillonE124" "dillonE122" 1187 "high" "dillonE1"
"29239" "dillonE124" "dillonE138" 744 "high" "dillonE1"
"29246" "dillonE124" "dillonE138" 620 "high" "dillonE1"
"29253" "dillonE124" "dillonE138" 797 "high" "dillonE1"
"29260" "dillonE124" "dillonE138" 263 "high" "dillonE1"
"29267" "dillonE124" "dillonE138" 486 "high" "dillonE1"
"29274" "dillonE124" "dillonE138" 1691 "high" "dillonE1"
"29323" "dillonE124" "dillonE146" 681 "high" "dillonE1"
"29330" "dillonE124" "dillonE146" 608 "high" "dillonE1"
"29337" "dillonE124" "dillonE146" 699 "high" "dillonE1"
"29344" "dillonE124" "dillonE146" 305 "high" "dillonE1"
"29351" "dillonE124" "dillonE146" 1325 "high" "dillonE1"
"29358" "dillonE124" "dillonE146" 1143 "high" "dillonE1"
"29701" "dillonE124" "dillonE15" 1502 "low" "dillonE1"
"29708" "dillonE124" "dillonE15" 384 "low" "dillonE1"
"29715" "dillonE124" "dillonE15" 1478 "low" "dillonE1"
"29722" "dillonE124" "dillonE15" 708 "low" "dillonE1"
"29729" "dillonE124" "dillonE15" 1115 "low" "dillonE1"
"29736" "dillonE124" "dillonE15" 502 "low" "dillonE1"
"29743" "dillonE124" "dillonE114" 412 "high" "dillonE1"
"29750" "dillonE124" "dillonE114" 268 "high" "dillonE1"
"29757" "dillonE124" "dillonE114" 772 "high" "dillonE1"
"29771" "dillonE124" "dillonE114" 1271 "high" "dillonE1"
"29778" "dillonE124" "dillonE114" 1081 "high" "dillonE1"
"29953" "dillonE124" "dillonE129" 406 "low" "dillonE1"
"29960" "dillonE124" "dillonE129" 452 "low" "dillonE1"
"29967" "dillonE124" "dillonE129" 747 "low" "dillonE1"
"29974" "dillonE124" "dillonE129" 709 "low" "dillonE1"
"29981" "dillonE124" "dillonE129" 929 "low" "dillonE1"
"29988" "dillonE124" "dillonE129" 872 "low" "dillonE1"
"30037" "dillonE124" "dillonE16" 956 "high" "dillonE1"
"30044" "dillonE124" "dillonE16" 709 "high" "dillonE1"
"30051" "dillonE124" "dillonE16" 501 "high" "dillonE1"
"30058" "dillonE124" "dillonE16" 547 "high" "dillonE1"
"30065" "dillonE124" "dillonE16" 580 "high" "dillonE1"
"30072" "dillonE124" "dillonE16" 2460 "high" "dillonE1"
"30163" "dillonE124" "dillonE130" 1073 "high" "dillonE1"
"30170" "dillonE124" "dillonE130" 819 "high" "dillonE1"
"30177" "dillonE124" "dillonE130" 1525 "high" "dillonE1"
"30184" "dillonE124" "dillonE130" 977 "high" "dillonE1"
"30191" "dillonE124" "dillonE130" 1953 "high" "dillonE1"
"30198" "dillonE124" "dillonE130" 2023 "high" "dillonE1"
"30247" "dillonE126" "dillonE129" 1432 "high" "dillonE1"
"30254" "dillonE126" "dillonE129" 505 "high" "dillonE1"
"30261" "dillonE126" "dillonE129" 1263 "high" "dillonE1"
"30268" "dillonE126" "dillonE129" 764 "high" "dillonE1"
"30275" "dillonE126" "dillonE129" 677 "high" "dillonE1"
"30282" "dillonE126" "dillonE129" 1203 "high" "dillonE1"
"30415" "dillonE126" "dillonE112" 403 "low" "dillonE1"
"30422" "dillonE126" "dillonE112" 353 "low" "dillonE1"
"30429" "dillonE126" "dillonE112" 618 "low" "dillonE1"
"30443" "dillonE126" "dillonE112" 1490 "low" "dillonE1"
"30450" "dillonE126" "dillonE112" 991 "low" "dillonE1"
"30877" "dillonE126" "dillonE15" 794 "high" "dillonE1"
"30884" "dillonE126" "dillonE15" 535 "high" "dillonE1"
"30891" "dillonE126" "dillonE15" 773 "high" "dillonE1"
"30898" "dillonE126" "dillonE15" 496 "high" "dillonE1"
"30905" "dillonE126" "dillonE15" 1026 "high" "dillonE1"
"30912" "dillonE126" "dillonE15" 1894 "high" "dillonE1"
"30919" "dillonE126" "dillonE144" 639 "low" "dillonE1"
"30926" "dillonE126" "dillonE144" 374 "low" "dillonE1"
"30933" "dillonE126" "dillonE144" 1948 "low" "dillonE1"
"30940" "dillonE126" "dillonE144" 461 "low" "dillonE1"
"30947" "dillonE126" "dillonE144" 1622 "low" "dillonE1"
"30954" "dillonE126" "dillonE144" 1201 "low" "dillonE1"
"30961" "dillonE126" "dillonE120" 513 "low" "dillonE1"
"30968" "dillonE126" "dillonE120" 528 "low" "dillonE1"
"30975" "dillonE126" "dillonE120" 830 "low" "dillonE1"
"30982" "dillonE126" "dillonE120" 726 "low" "dillonE1"
"30989" "dillonE126" "dillonE120" 664 "low" "dillonE1"
"30996" "dillonE126" "dillonE120" 166 "low" "dillonE1"
"31171" "dillonE126" "dillonE121" 794 "high" "dillonE1"
"31178" "dillonE126" "dillonE121" 1140 "high" "dillonE1"
"31185" "dillonE126" "dillonE121" 1760 "high" "dillonE1"
"31192" "dillonE126" "dillonE121" 1060 "high" "dillonE1"
"31199" "dillonE126" "dillonE121" 920 "high" "dillonE1"
"31206" "dillonE126" "dillonE121" 424 "high" "dillonE1"
"31213" "dillonE126" "dillonE128" 402 "low" "dillonE1"
"31220" "dillonE126" "dillonE128" 578 "low" "dillonE1"
"31227" "dillonE126" "dillonE128" 790 "low" "dillonE1"
"31234" "dillonE126" "dillonE128" 218 "low" "dillonE1"
"31241" "dillonE126" "dillonE128" 1504 "low" "dillonE1"
"31248" "dillonE126" "dillonE128" 894 "low" "dillonE1"
"31339" "dillonE126" "dillonE136" 910 "low" "dillonE1"
"31346" "dillonE126" "dillonE136" 960 "low" "dillonE1"
"31353" "dillonE126" "dillonE136" 943 "low" "dillonE1"
"31360" "dillonE126" "dillonE136" 954 "low" "dillonE1"
"31367" "dillonE126" "dillonE136" 974 "low" "dillonE1"
"31374" "dillonE126" "dillonE136" 1212 "low" "dillonE1"
"31549" "dillonE126" "dillonE145" 866 "high" "dillonE1"
"31556" "dillonE126" "dillonE145" 795 "high" "dillonE1"
"31563" "dillonE126" "dillonE145" 698 "high" "dillonE1"
"31570" "dillonE126" "dillonE145" 1542 "high" "dillonE1"
"31577" "dillonE126" "dillonE145" 979 "high" "dillonE1"
"31584" "dillonE126" "dillonE145" 3119 "high" "dillonE1"
"31633" "dillonE126" "dillonE137" 726 "high" "dillonE1"
"31640" "dillonE126" "dillonE137" 407 "high" "dillonE1"
"31647" "dillonE126" "dillonE137" 458 "high" "dillonE1"
"31654" "dillonE126" "dillonE137" 329 "high" "dillonE1"
"31661" "dillonE126" "dillonE137" 277 "high" "dillonE1"
"31668" "dillonE126" "dillonE137" 1535 "high" "dillonE1"
"31927" "dillonE126" "dillonE14" 811 "low" "dillonE1"
"31934" "dillonE126" "dillonE14" 397 "low" "dillonE1"
"31941" "dillonE126" "dillonE14" 766 "low" "dillonE1"
"31948" "dillonE126" "dillonE14" 296 "low" "dillonE1"
"31955" "dillonE126" "dillonE14" 785 "low" "dillonE1"
"31962" "dillonE126" "dillonE14" 401 "low" "dillonE1"
"32053" "dillonE126" "dillonE113" 906 "high" "dillonE1"
"32060" "dillonE126" "dillonE113" 1206 "high" "dillonE1"
"32067" "dillonE126" "dillonE113" 1262 "high" "dillonE1"
"32074" "dillonE126" "dillonE113" 244 "high" "dillonE1"
"32081" "dillonE126" "dillonE113" 338 "high" "dillonE1"
"32088" "dillonE126" "dillonE113" 587 "high" "dillonE1"
"32305" "dillonE127" "dillonE139" 517 "low" "dillonE1"
"32312" "dillonE127" "dillonE139" 371 "low" "dillonE1"
"32319" "dillonE127" "dillonE139" 467 "low" "dillonE1"
"32326" "dillonE127" "dillonE139" 1278 "low" "dillonE1"
"32333" "dillonE127" "dillonE139" 708 "low" "dillonE1"
"32340" "dillonE127" "dillonE139" 867 "low" "dillonE1"
"32431" "dillonE127" "dillonE131" 217 "low" "dillonE1"
"32438" "dillonE127" "dillonE131" 452 "low" "dillonE1"
"32445" "dillonE127" "dillonE131" 773 "low" "dillonE1"
"32452" "dillonE127" "dillonE131" 377 "low" "dillonE1"
"32459" "dillonE127" "dillonE131" 749 "low" "dillonE1"
"32466" "dillonE127" "dillonE131" 766 "low" "dillonE1"
"32473" "dillonE127" "dillonE115" 366 "low" "dillonE1"
"32480" "dillonE127" "dillonE115" 203 "low" "dillonE1"
"32487" "dillonE127" "dillonE115" 438 "low" "dillonE1"
"32494" "dillonE127" "dillonE115" 374 "low" "dillonE1"
"32501" "dillonE127" "dillonE115" 301 "low" "dillonE1"
"32508" "dillonE127" "dillonE115" 727 "low" "dillonE1"
"32557" "dillonE127" "dillonE148" 1263 "high" "dillonE1"
"32564" "dillonE127" "dillonE148" 496 "high" "dillonE1"
"32571" "dillonE127" "dillonE148" 1575 "high" "dillonE1"
"32578" "dillonE127" "dillonE148" 786 "high" "dillonE1"
"32585" "dillonE127" "dillonE148" 1159 "high" "dillonE1"
"32592" "dillonE127" "dillonE148" 1047 "high" "dillonE1"
"32935" "dillonE127" "dillonE18" 247 "high" "dillonE1"
"32942" "dillonE127" "dillonE18" 361 "high" "dillonE1"
"32949" "dillonE127" "dillonE18" 444 "high" "dillonE1"
"32956" "dillonE127" "dillonE18" 386 "high" "dillonE1"
"32963" "dillonE127" "dillonE18" 173 "high" "dillonE1"
"32970" "dillonE127" "dillonE18" 1106 "high" "dillonE1"
"32977" "dillonE127" "dillonE123" 1643 "low" "dillonE1"
"32984" "dillonE127" "dillonE123" 352 "low" "dillonE1"
"32991" "dillonE127" "dillonE123" 769 "low" "dillonE1"
"32998" "dillonE127" "dillonE123" 285 "low" "dillonE1"
"33005" "dillonE127" "dillonE123" 474 "low" "dillonE1"
"33012" "dillonE127" "dillonE123" 1044 "low" "dillonE1"
"33229" "dillonE127" "dillonE124" 470 "high" "dillonE1"
"33236" "dillonE127" "dillonE124" 367 "high" "dillonE1"
"33243" "dillonE127" "dillonE124" 1152 "high" "dillonE1"
"33250" "dillonE127" "dillonE124" 230 "high" "dillonE1"
"33257" "dillonE127" "dillonE124" 345 "high" "dillonE1"
"33264" "dillonE127" "dillonE124" 1611 "high" "dillonE1"
"33481" "dillonE127" "dillonE147" 504 "low" "dillonE1"
"33488" "dillonE127" "dillonE147" 276 "low" "dillonE1"
"33495" "dillonE127" "dillonE147" 481 "low" "dillonE1"
"33502" "dillonE127" "dillonE147" 530 "low" "dillonE1"
"33509" "dillonE127" "dillonE147" 697 "low" "dillonE1"
"33516" "dillonE127" "dillonE147" 861 "low" "dillonE1"
"33523" "dillonE127" "dillonE140" 237 "high" "dillonE1"
"33530" "dillonE127" "dillonE140" 358 "high" "dillonE1"
"33537" "dillonE127" "dillonE140" 308 "high" "dillonE1"
"33544" "dillonE127" "dillonE140" 209 "high" "dillonE1"
"33551" "dillonE127" "dillonE140" 582 "high" "dillonE1"
"33558" "dillonE127" "dillonE140" 1004 "high" "dillonE1"
"33901" "dillonE127" "dillonE17" 222 "low" "dillonE1"
"33908" "dillonE127" "dillonE17" 421 "low" "dillonE1"
"33915" "dillonE127" "dillonE17" 1219 "low" "dillonE1"
"33922" "dillonE127" "dillonE17" 195 "low" "dillonE1"
"33929" "dillonE127" "dillonE17" 627 "low" "dillonE1"
"33936" "dillonE127" "dillonE17" 1483 "low" "dillonE1"
"33985" "dillonE127" "dillonE116" 463 "high" "dillonE1"
"33992" "dillonE127" "dillonE116" 544 "high" "dillonE1"
"33999" "dillonE127" "dillonE116" 663 "high" "dillonE1"
"34006" "dillonE127" "dillonE116" 394 "high" "dillonE1"
"34013" "dillonE127" "dillonE116" 406 "high" "dillonE1"
"34020" "dillonE127" "dillonE116" 1841 "high" "dillonE1"
"34111" "dillonE127" "dillonE132" 1499 "high" "dillonE1"
"34118" "dillonE127" "dillonE132" 548 "high" "dillonE1"
"34125" "dillonE127" "dillonE132" 1304 "high" "dillonE1"
"34132" "dillonE127" "dillonE132" 396 "high" "dillonE1"
"34139" "dillonE127" "dillonE132" 460 "high" "dillonE1"
"34146" "dillonE127" "dillonE132" 1140 "high" "dillonE1"
"34279" "dillonE128" "dillonE118" 1153 "low" "dillonE1"
"34286" "dillonE128" "dillonE118" 999 "low" "dillonE1"
"34293" "dillonE128" "dillonE118" 1572 "low" "dillonE1"
"34300" "dillonE128" "dillonE118" 1030 "low" "dillonE1"
"34307" "dillonE128" "dillonE118" 966 "low" "dillonE1"
"34314" "dillonE128" "dillonE118" 1275 "low" "dillonE1"
"34363" "dillonE128" "dillonE134" 719 "low" "dillonE1"
"34370" "dillonE128" "dillonE134" 192 "low" "dillonE1"
"34377" "dillonE128" "dillonE134" 472 "low" "dillonE1"
"34384" "dillonE128" "dillonE134" 316 "low" "dillonE1"
"34391" "dillonE128" "dillonE134" 480 "low" "dillonE1"
"34398" "dillonE128" "dillonE134" 449 "low" "dillonE1"
"34447" "dillonE128" "dillonE110" 303 "low" "dillonE1"
"34454" "dillonE128" "dillonE110" 525 "low" "dillonE1"
"34461" "dillonE128" "dillonE110" 430 "low" "dillonE1"
"34468" "dillonE128" "dillonE110" 685 "low" "dillonE1"
"34475" "dillonE128" "dillonE110" 451 "low" "dillonE1"
"34482" "dillonE128" "dillonE110" 865 "low" "dillonE1"
"34783" "dillonE128" "dillonE135" 326 "high" "dillonE1"
"34790" "dillonE128" "dillonE135" 178 "high" "dillonE1"
"34797" "dillonE128" "dillonE135" 367 "high" "dillonE1"
"34804" "dillonE128" "dillonE135" 193 "high" "dillonE1"
"34811" "dillonE128" "dillonE135" 188 "high" "dillonE1"
"34818" "dillonE128" "dillonE135" 248 "high" "dillonE1"
"35035" "dillonE128" "dillonE13" 838 "high" "dillonE1"
"35042" "dillonE128" "dillonE13" 475 "high" "dillonE1"
"35049" "dillonE128" "dillonE13" 197 "high" "dillonE1"
"35056" "dillonE128" "dillonE13" 148 "high" "dillonE1"
"35063" "dillonE128" "dillonE13" 386 "high" "dillonE1"
"35070" "dillonE128" "dillonE13" 664 "high" "dillonE1"
"35161" "dillonE128" "dillonE142" 1444 "low" "dillonE1"
"35168" "dillonE128" "dillonE142" 1255 "low" "dillonE1"
"35175" "dillonE128" "dillonE142" 1021 "low" "dillonE1"
"35182" "dillonE128" "dillonE142" 674 "low" "dillonE1"
"35189" "dillonE128" "dillonE142" 563 "low" "dillonE1"
"35196" "dillonE128" "dillonE142" 911 "low" "dillonE1"
"35413" "dillonE128" "dillonE143" 415 "high" "dillonE1"
"35420" "dillonE128" "dillonE143" 216 "high" "dillonE1"
"35427" "dillonE128" "dillonE143" 329 "high" "dillonE1"
"35434" "dillonE128" "dillonE143" 296 "high" "dillonE1"
"35441" "dillonE128" "dillonE143" 190 "high" "dillonE1"
"35448" "dillonE128" "dillonE143" 342 "high" "dillonE1"
"35455" "dillonE128" "dillonE126" 305 "low" "dillonE1"
"35462" "dillonE128" "dillonE126" 403 "low" "dillonE1"
"35469" "dillonE128" "dillonE126" 670 "low" "dillonE1"
"35476" "dillonE128" "dillonE126" 206 "low" "dillonE1"
"35483" "dillonE128" "dillonE126" 171 "low" "dillonE1"
"35490" "dillonE128" "dillonE126" 327 "low" "dillonE1"
"35959" "dillonE128" "dillonE111" 1149 "high" "dillonE1"
"35966" "dillonE128" "dillonE111" 774 "high" "dillonE1"
"35973" "dillonE128" "dillonE111" 1061 "high" "dillonE1"
"35980" "dillonE128" "dillonE111" 563 "high" "dillonE1"
"35987" "dillonE128" "dillonE111" 857 "high" "dillonE1"
"35994" "dillonE128" "dillonE111" 592 "high" "dillonE1"
"36001" "dillonE128" "dillonE12" 752 "low" "dillonE1"
"36008" "dillonE128" "dillonE12" 836 "low" "dillonE1"
"36015" "dillonE128" "dillonE12" 1103 "low" "dillonE1"
"36022" "dillonE128" "dillonE12" 383 "low" "dillonE1"
"36029" "dillonE128" "dillonE12" 488 "low" "dillonE1"
"36036" "dillonE128" "dillonE12" 504 "low" "dillonE1"
"36127" "dillonE128" "dillonE119" 1234 "high" "dillonE1"
"36134" "dillonE128" "dillonE119" 229 "high" "dillonE1"
"36141" "dillonE128" "dillonE119" 587 "high" "dillonE1"
"36148" "dillonE128" "dillonE119" 295 "high" "dillonE1"
"36155" "dillonE128" "dillonE119" 357 "high" "dillonE1"
"36162" "dillonE128" "dillonE119" 651 "high" "dillonE1"
"36211" "dillonE128" "dillonE127" 555 "high" "dillonE1"
"36218" "dillonE128" "dillonE127" 284 "high" "dillonE1"
"36225" "dillonE128" "dillonE127" 556 "high" "dillonE1"
"36232" "dillonE128" "dillonE127" 321 "high" "dillonE1"
"36239" "dillonE128" "dillonE127" 1295 "high" "dillonE1"
"36246" "dillonE128" "dillonE127" 553 "high" "dillonE1"
"36421" "dillonE129" "dillonE117" 1062 "low" "dillonE1"
"36428" "dillonE129" "dillonE117" 528 "low" "dillonE1"
"36435" "dillonE129" "dillonE117" 432 "low" "dillonE1"
"36442" "dillonE129" "dillonE117" 329 "low" "dillonE1"
"36449" "dillonE129" "dillonE117" 3059 "low" "dillonE1"
"36456" "dillonE129" "dillonE117" 639 "low" "dillonE1"
"36463" "dillonE129" "dillonE133" 2326 "low" "dillonE1"
"36470" "dillonE129" "dillonE133" 1190 "low" "dillonE1"
"36477" "dillonE129" "dillonE133" 1593 "low" "dillonE1"
"36484" "dillonE129" "dillonE133" 1066 "low" "dillonE1"
"36491" "dillonE129" "dillonE133" 1048 "low" "dillonE1"
"36498" "dillonE129" "dillonE133" 1232 "low" "dillonE1"
"36715" "dillonE129" "dillonE126" 394 "high" "dillonE1"
"36722" "dillonE129" "dillonE126" 238 "high" "dillonE1"
"36729" "dillonE129" "dillonE126" 783 "high" "dillonE1"
"36736" "dillonE129" "dillonE126" 568 "high" "dillonE1"
"36743" "dillonE129" "dillonE126" 745 "high" "dillonE1"
