"subj" "item" "rt" "int" "expt"
"5992" "dillonE13" "dillonE118" 468 "high" "dillonE1"
"5999" "dillonE13" "dillonE118" 709 "high" "dillonE1"
"6006" "dillonE13" "dillonE118" 1645 "high" "dillonE1"
"6139" "dillonE14" "dillonE116" 966 "low" "dillonE1"
"6146" "dillonE14" "dillonE116" 1183 "low" "dillonE1"
"6153" "dillonE14" "dillonE116" 882 "low" "dillonE1"
"6160" "dillonE14" "dillonE116" 432 "low" "dillonE1"
"6167" "dillonE14" "dillonE116" 1784 "low" "dillonE1"
"6174" "dillonE14" "dillonE116" 3344 "low" "dillonE1"
"6181" "dillonE14" "dillonE132" 595 "low" "dillonE1"
"6188" "dillonE14" "dillonE132" 655 "low" "dillonE1"
"6195" "dillonE14" "dillonE132" 924 "low" "dillonE1"
"6202" "dillonE14" "dillonE132" 668 "low" "dillonE1"
"6209" "dillonE14" "dillonE132" 489 "low" "dillonE1"
"6216" "dillonE14" "dillonE132" 450 "low" "dillonE1"
"6475" "dillonE14" "dillonE11" 449 "high" "dillonE1"
"6482" "dillonE14" "dillonE11" 260 "high" "dillonE1"
"6489" "dillonE14" "dillonE11" 856 "high" "dillonE1"
"6496" "dillonE14" "dillonE11" 945 "high" "dillonE1"
"6503" "dillonE14" "dillonE11" 830 "high" "dillonE1"
"6510" "dillonE14" "dillonE11" 881 "high" "dillonE1"
"6685" "dillonE14" "dillonE19" 838 "high" "dillonE1"
"6692" "dillonE14" "dillonE19" 459 "high" "dillonE1"
"6699" "dillonE14" "dillonE19" 461 "high" "dillonE1"
"6706" "dillonE14" "dillonE19" 1011 "high" "dillonE1"
"6713" "dillonE14" "dillonE19" 904 "high" "dillonE1"
"6720" "dillonE14" "dillonE19" 1957 "high" "dillonE1"
"6853" "dillonE14" "dillonE140" 2451 "low" "dillonE1"
"6860" "dillonE14" "dillonE140" 1099 "low" "dillonE1"
"6867" "dillonE14" "dillonE140" 1241 "low" "dillonE1"
"6874" "dillonE14" "dillonE140" 904 "low" "dillonE1"
"6881" "dillonE14" "dillonE140" 523 "low" "dillonE1"
"6888" "dillonE14" "dillonE140" 1136 "low" "dillonE1"
"6895" "dillonE14" "dillonE124" 1949 "low" "dillonE1"
"6902" "dillonE14" "dillonE124" 780 "low" "dillonE1"
"6909" "dillonE14" "dillonE124" 728 "low" "dillonE1"
"6916" "dillonE14" "dillonE124" 363 "low" "dillonE1"
"6923" "dillonE14" "dillonE124" 1256 "low" "dillonE1"
"6930" "dillonE14" "dillonE124" 1555 "low" "dillonE1"
"7021" "dillonE14" "dillonE125" 1121 "high" "dillonE1"
"7028" "dillonE14" "dillonE125" 781 "high" "dillonE1"
"7035" "dillonE14" "dillonE125" 940 "high" "dillonE1"
"7042" "dillonE14" "dillonE125" 427 "high" "dillonE1"
"7049" "dillonE14" "dillonE125" 1137 "high" "dillonE1"
"7056" "dillonE14" "dillonE125" 1024 "high" "dillonE1"
"7147" "dillonE14" "dillonE141" 297 "high" "dillonE1"
"7154" "dillonE14" "dillonE141" 836 "high" "dillonE1"
"7161" "dillonE14" "dillonE141" 968 "high" "dillonE1"
