"subject" "item" "condition" "rawRT"
"4386" 18 14 "objgap" 186
"4403" 18 15 "subjgap" 183
"4419" 18 16 "objgap" 173
"4434" 19 1 "objgap" 317
"4447" 19 2 "subjgap" 336
"4462" 19 3 "objgap" 709
"4477" 19 4 "subjgap" 291
"4496" 19 5 "objgap" 1115
"4508" 19 6 "subjgap" 354
"4528" 19 7 "objgap" 436
"4540" 19 8 "subjgap" 272
"4560" 19 9 "objgap" 306
"4573" 19 10 "subjgap" 265
"4589" 19 11 "objgap" 295
"4600" 19 12 "subjgap" 336
"4617" 19 13 "objgap" 356
"4630" 19 14 "subjgap" 317
"4651" 19 15 "objgap" 311
"4663" 19 16 "subjgap" 254
"4678" 20 1 "subjgap" 357
"4695" 20 2 "objgap" 272
"4706" 20 3 "subjgap" 209
"4725" 20 4 "objgap" 268
"4740" 20 5 "subjgap" 644
"4756" 20 6 "objgap" 431
"4772" 20 7 "subjgap" 222
"4788" 20 8 "objgap" 421
"4804" 20 9 "subjgap" 173
"4821" 20 10 "objgap" 305
"4833" 20 11 "subjgap" 196
"4848" 20 12 "objgap" 951
"4861" 20 13 "subjgap" 525
"4878" 20 14 "objgap" 439
"4895" 20 15 "subjgap" 435
"4911" 20 16 "objgap" 264
"4926" 21 1 "objgap" 339
"4939" 21 2 "subjgap" 290
"4954" 21 3 "objgap" 436
"4969" 21 4 "subjgap" 274
"4988" 21 5 "objgap" 334
"5000" 21 6 "subjgap" 411
"5020" 21 7 "objgap" 413
"5032" 21 8 "subjgap" 394
"5052" 21 9 "objgap" 424
"5065" 21 10 "subjgap" 248
"5081" 21 11 "objgap" 275
"5092" 21 12 "subjgap" 243
"5109" 21 13 "objgap" 293
"5122" 21 14 "subjgap" 252
"5143" 21 15 "objgap" 343
"5155" 21 16 "subjgap" 273
"5170" 22 1 "subjgap" 286
"5187" 22 2 "objgap" 323
"5198" 22 3 "subjgap" 349
"5217" 22 4 "objgap" 304
"5232" 22 5 "subjgap" 323
"5248" 22 6 "objgap" 318
"5264" 22 7 "subjgap" 338
"5280" 22 8 "objgap" 300
"5296" 22 9 "subjgap" 322
"5313" 22 10 "objgap" 322
"5325" 22 11 "subjgap" 311
"5340" 22 12 "objgap" 324
"5353" 22 13 "subjgap" 349
"5370" 22 14 "objgap" 315
"5387" 22 15 "subjgap" 350
"5403" 22 16 "objgap" 298
"5418" 23 1 "objgap" 277
"5431" 23 2 "subjgap" 259
"5446" 23 3 "objgap" 256
"5461" 23 4 "subjgap" 286
"5480" 23 5 "objgap" 267
"5492" 23 6 "subjgap" 285
"5512" 23 7 "objgap" 468
"5524" 23 8 "subjgap" 241
"5544" 23 9 "objgap" 234
"5557" 23 10 "subjgap" 329
"5573" 23 11 "objgap" 247
"5584" 23 12 "subjgap" 281
"5601" 23 13 "objgap" 251
