"subj" "item" "type" "rt"
"33221" 27 8 "subj-ext" 1060
"33351" 27 16 "subj-ext" 515
"33481" 27 9 "obj-ext" 280
"33641" 27 1 "obj-ext" 367
"33791" 27 15 "obj-ext" 683
"33901" 27 13 "obj-ext" 944
"34031" 28 11 "subj-ext" 1096
"34161" 28 13 "subj-ext" 1048
"34291" 28 8 "obj-ext" 470
"34421" 28 9 "subj-ext" 526
"34581" 28 3 "subj-ext" 302
"34751" 28 4 "obj-ext" 230
"34921" 28 6 "obj-ext" 246
"35041" 28 7 "subj-ext" 302
"35161" 28 16 "obj-ext" 326
"35291" 28 2 "obj-ext" 382
"35441" 28 14 "obj-ext" 254
"35571" 28 15 "subj-ext" 2988
"35681" 28 10 "obj-ext" 453
"35821" 28 5 "subj-ext" 406
"35941" 28 1 "subj-ext" 358
"36091" 29 3 "obj-ext" 374
"36261" 29 5 "obj-ext" 374
"36381" 29 11 "obj-ext" 245
"36511" 29 1 "obj-ext" 285
"36661" 29 8 "subj-ext" 318
"36791" 29 13 "obj-ext" 350
"36921" 29 6 "subj-ext" 213
"37041" 29 7 "obj-ext" 285
"37161" 29 10 "subj-ext" 246
"37301" 29 16 "subj-ext" 326
"37431" 29 15 "obj-ext" 454
"37541" 29 2 "subj-ext" 278
"37691" 29 9 "obj-ext" 189
"37851" 29 4 "subj-ext" 189
"38021" 29 14 "subj-ext" 206
"38151" 3 10 "subj-ext" 445
"38291" 3 14 "subj-ext" 1136
"38421" 3 5 "obj-ext" 312
"38541" 3 11 "obj-ext" 303
"38671" 3 16 "subj-ext" 322
"38801" 3 6 "subj-ext" 291
"38921" 3 8 "subj-ext" 454
"39051" 3 9 "obj-ext" 352
"39211" 3 13 "obj-ext" 314
"39341" 3 1 "obj-ext" 313
"39491" 3 7 "obj-ext" 269
"39611" 3 3 "obj-ext" 349
"39781" 3 2 "subj-ext" 283
"39931" 3 15 "obj-ext" 1860
"40041" 3 4 "subj-ext" 1053
"40211" 30 2 "obj-ext" 372
"40361" 30 11 "subj-ext" 349
"40491" 30 6 "obj-ext" 290
"40611" 30 10 "obj-ext" 334
"40751" 30 15 "subj-ext" 482
"40861" 30 5 "subj-ext" 573
"40981" 30 16 "obj-ext" 437
"41111" 30 3 "subj-ext" 302
"41281" 30 13 "subj-ext" 451
"41411" 30 7 "subj-ext" 516
"41531" 30 8 "obj-ext" 539
"41661" 30 9 "subj-ext" 285
"41821" 30 1 "subj-ext" 281
"41971" 30 14 "obj-ext" 554
"42101" 30 4 "obj-ext" 279
"42271" 31 16 "subj-ext" 406
"42401" 31 10 "subj-ext" 366
"42541" 31 6 "subj-ext" 414
"42661" 31 15 "obj-ext" 302
"42771" 31 2 "subj-ext" 438
"42921" 31 7 "obj-ext" 254
"43041" 31 11 "obj-ext" 470
"43171" 31 1 "obj-ext" 286
"43321" 31 14 "subj-ext" 430
"43451" 31 3 "obj-ext" 246
"43621" 31 8 "subj-ext" 3285
"43751" 31 13 "obj-ext" 286
"43881" 31 9 "obj-ext" 278
"44041" 31 5 "obj-ext" 374
"44161" 31 4 "subj-ext" 214
"44331" 32 9 "subj-ext" 369
"44491" 32 3 "subj-ext" 361
"44661" 32 15 "subj-ext" 240
"44771" 32 8 "obj-ext" 252
"44901" 32 16 "obj-ext" 345
"45031" 32 7 "subj-ext" 220
"45151" 32 10 "obj-ext" 333
"45291" 32 6 "obj-ext" 244
"45411" 32 5 "subj-ext" 250
"45531" 32 1 "subj-ext" 299
"45681" 32 11 "subj-ext" 230
"45811" 32 13 "subj-ext" 324
"45941" 32 2 "obj-ext" 275
"46091" 32 4 "obj-ext" 200
"46261" 32 14 "obj-ext" 263
"46391" 33 15 "obj-ext" 767
"46501" 33 4 "subj-ext" 237
"46671" 33 3 "obj-ext" 254
"46841" 33 7 "obj-ext" 221
"46961" 33 5 "obj-ext" 214
"47081" 33 10 "subj-ext" 799
"47221" 33 6 "subj-ext" 270
"47341" 33 2 "subj-ext" 221
"47491" 33 1 "obj-ext" 205
"47641" 33 16 "subj-ext" 707
"47771" 33 13 "obj-ext" 294
"47901" 33 9 "obj-ext" 309
"48061" 33 8 "subj-ext" 302
"48191" 33 11 "obj-ext" 254
"48321" 33 14 "subj-ext" 246
"48451" 34 4 "obj-ext" 287
"48621" 34 1 "subj-ext" 369
"48771" 34 6 "obj-ext" 367
"48891" 34 14 "obj-ext" 331
"49021" 34 11 "subj-ext" 343
"49151" 34 10 "obj-ext" 379
"49291" 34 2 "obj-ext" 726
"49441" 34 15 "subj-ext" 322
"49551" 34 9 "subj-ext" 292
"49711" 34 5 "subj-ext" 478
"49831" 34 13 "subj-ext" 298
"49961" 34 3 "subj-ext" 366
"50131" 34 16 "obj-ext" 257
"50261" 34 8 "obj-ext" 435
"50391" 34 7 "subj-ext" 270
"50511" 35 16 "subj-ext" 318
"50641" 35 2 "subj-ext" 366
"50791" 35 8 "subj-ext" 294
"50921" 35 5 "obj-ext" 534
"51041" 35 4 "subj-ext" 245
"51211" 35 13 "obj-ext" 1008
"51341" 35 1 "obj-ext" 1056
"51491" 35 14 "subj-ext" 695
"51621" 35 7 "obj-ext" 294
"51741" 35 3 "obj-ext" 408
"51911" 35 11 "obj-ext" 398
"52041" 35 10 "subj-ext" 310
"52181" 35 9 "obj-ext" 294
"52341" 35 6 "subj-ext" 294
"52461" 35 15 "obj-ext" 293
"52571" 36 2 "obj-ext" 560
"52721" 36 11 "subj-ext" 969
"52851" 36 15 "subj-ext" 314
"52961" 36 5 "subj-ext" 2366
"53081" 36 16 "obj-ext" 399
"53211" 36 14 "obj-ext" 515
"53341" 36 3 "subj-ext" 332
"53511" 36 8 "obj-ext" 1275
"53641" 36 1 "subj-ext" 295
"53791" 36 13 "subj-ext" 377
"53921" 36 9 "subj-ext" 274
"54081" 36 10 "obj-ext" 250
"54221" 36 4 "obj-ext" 267
"54391" 36 6 "obj-ext" 243
"54511" 36 7 "subj-ext" 222
"54631" 37 14 "subj-ext" 935
"54761" 37 6 "subj-ext" 1585
"54881" 37 8 "subj-ext" 1280
"55011" 37 16 "subj-ext" 2676
"55141" 37 11 "obj-ext" 695
"55271" 37 5 "obj-ext" 831
"55391" 37 7 "obj-ext" 791
"55511" 37 3 "obj-ext" 550
"55681" 37 4 "subj-ext" 470
"55851" 37 9 "obj-ext" 422
"56011" 37 13 "obj-ext" 518
"56141" 37 15 "obj-ext" 454
"56251" 37 1 "obj-ext" 526
"56401" 37 10 "subj-ext" 543
"56541" 37 2 "subj-ext" 614
"56691" 38 16 "subj-ext" 318
"56821" 38 2 "subj-ext" 278
"56971" 38 10 "subj-ext" 493
"57111" 38 15 "obj-ext" 622
"57221" 38 4 "subj-ext" 238
"57391" 38 13 "obj-ext" 262
"57521" 38 6 "subj-ext" 286
"57641" 38 9 "obj-ext" 324
"57801" 38 8 "subj-ext" 238
"57931" 38 1 "obj-ext" 254
"58081" 38 7 "obj-ext" 302
"58201" 38 11 "obj-ext" 300
"58331" 38 3 "obj-ext" 230
"58501" 38 5 "obj-ext" 262
"58621" 38 14 "subj-ext" 686
"58751" 39 2 "subj-ext" 374
"58901" 39 16 "subj-ext" 302
"59031" 39 7 "obj-ext" 206
"59151" 39 13 "obj-ext" 445
"59281" 39 6 "subj-ext" 278
"59401" 39 5 "obj-ext" 214
"59521" 39 10 "subj-ext" 230
"59661" 39 11 "obj-ext" 2053
"59791" 39 9 "obj-ext" 182
"59951" 39 15 "obj-ext" 430
"60061" 39 14 "subj-ext" 222
"60191" 39 1 "obj-ext" 206
"60341" 39 3 "obj-ext" 462
"60511" 39 4 "subj-ext" 270
"60681" 39 8 "subj-ext" 3814
"60811" 4 9 "subj-ext" 310
"60971" 4 8 "obj-ext" 1753
"61101" 4 1 "subj-ext" 478
"61251" 4 3 "subj-ext" 334
"61421" 4 6 "obj-ext" 296
"61541" 4 2 "obj-ext" 245
"61691" 4 4 "obj-ext" 246
"61861" 4 16 "obj-ext" 1449
"61991" 4 11 "subj-ext" 301
"62121" 4 10 "obj-ext" 340
